Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
Congenital nystagmus 1,knowledge_filtered,1,1,1.0,63.0,63.0,63.0,0.0,7560.0,0.0,0.0,1.0,FRMD7(63)
Pulmonary alveolar microlithiasis,knowledge_filtered,1,1,1.0,63.0,63.0,63.0,0.0,7525.0,0.0,0.0,1.0,SLC34A2(63)
AGAT deficiency,knowledge_filtered,1,1,1.0,63.0,63.0,63.0,0.0,7546.0,0.0,0.0,1.0,GATM(63)
Mitochondrial complex III deficiency,knowledge_filtered,9,8,0.8888888888888888,62.5,79.5,145.5,0.32861635220125784,7693.5,0.0,0.0,0.75,UQCRC2(191); CYC1(126); BCS1L(78); UQCRB(75); UQCRQ(50)
Bartter disease,knowledge_filtered,6,6,1.0,62.0,66.9090909090909,77.0,0.27000988142292487,7638.0,0.0,0.0,0.6363636363636364,MAGED2(182); SLC12A1(77); SLC12A1(77); CLCNKB(66); CLCNKB(66)
Postaxial acrofacial dysostosis,knowledge_filtered,1,1,1.0,62.0,62.0,62.0,0.0,7622.0,0.0,0.0,1.0,DHODH(62)
Autosomal recessive congenital ichthyosis 4B,knowledge_filtered,1,1,1.0,62.0,62.0,62.0,0.0,7594.0,0.0,0.0,1.0,ABCA12(62)
Argininosuccinic aciduria,knowledge_filtered,1,1,1.0,62.0,62.0,62.0,0.0,7575.0,0.0,0.0,1.0,ASL(62)
Xia-Gibbs Syndrome,knowledge_filtered,1,1,1.0,62.0,62.0,62.0,0.0,7618.0,0.0,0.0,1.0,AHDC1(62)
Congenital disorder of glycosylation type IIm,knowledge_filtered,1,1,1.0,62.0,62.0,62.0,0.0,7573.0,0.0,0.0,1.0,SLC35A2(62)
Nonsyndromic deafness,knowledge_filtered,144,138,0.9583333333333334,61.5,124.12727272727273,263.99999999999994,0.5946485878264112,7666.5,0.04090909090909091,0.13636363636363635,0.6636363636363637,MET(1417); MET(1417); NLRP3(1288); GJB2(860); GJB2(860)
Peroxisomal disease,knowledge_filtered,16,15,0.9375,61.0,72.66666666666667,115.39999999999999,0.22226299694189605,7748.0,0.0,0.0,0.8666666666666667,PEX5(147); PEX19(125); PEX14(101); PEX1(96); PEX3(80)
Fundus albipunctatus,knowledge_filtered,3,3,1.0,61.0,84.0,120.2,0.20899470899470898,7733.0,0.0,0.0,1.0,RPE65(135); RDH5(61); RLBP1(56)
Freeman-Sheldon syndrome,knowledge_filtered,1,1,1.0,61.0,61.0,61.0,0.0,7763.0,0.0,0.0,1.0,MYH3(61)
DOORS syndrome,knowledge_filtered,1,1,1.0,61.0,61.0,61.0,0.0,7753.0,0.0,0.0,1.0,TBC1D24(61)
biotin-responsive basal ganglia disease,knowledge_filtered,1,1,1.0,61.0,61.0,61.0,0.0,7714.0,0.0,0.0,1.0,SLC19A3(61)
Zellweger syndrome,knowledge_filtered,13,13,1.0,60.5,70.875,113.0,0.22685185185185186,7764.5,0.0,0.0,0.8125,PEX5(147); PEX19(125); PEX14(101); PEX1(96); PEX3(80)
Urofacial syndrome,knowledge_filtered,1,1,1.0,60.0,60.0,60.0,0.0,7794.0,0.0,0.0,1.0,HPSE2(60)
Congenital myasthenic syndrome,knowledge_filtered,26,26,1.0,59.5,88.60526315789474,171.0,0.3630515998937051,7887.5,0.0,0.05263157894736842,0.7894736842105263,PLEC(335); SNAP25(271); SLC25A1(201); GFPT1(171); GFPT1(171)
cone-rod dystrophy,knowledge_filtered,41,39,0.9512195121951219,59.0,94.21311475409836,179.0,0.48020492516409136,7942.0,0.03278688524590164,0.06557377049180328,0.7213114754098361,PROM1(631); PROM1(631); ABCA4(323); ABCA4(323); RPGR(183)
Congenital muscular dystrophy,knowledge_filtered,31,31,1.0,59.0,104.3225806451613,148.0,0.5033016139006923,7929.0,0.03225806451612903,0.03225806451612903,0.7741935483870968,LMNA(1073); DAG1(177); DPM1(168); COL6A1(148); LAMA2(134)
Migraine,knowledge_filtered,17,16,0.9411764705882353,59.0,187.5,331.0,0.6790416666666667,7943.5,0.0625,0.1875,0.6875,YAP1(1503); NRP1(435); RNF213(227); PLCE1(190); MEF2D(129)
