Disease,median_pubmed_filtered,mean_pubmed_filtered,n_genes_with_pubmed_filtered,coverage_filtered,median_pubmed_full,mean_pubmed_full,n_genes_with_pubmed_full,coverage_full,delta_median_full_minus_filtered,delta_mean_full_minus_filtered
Noonan syndrome,294.0,715.0769230769231,13.0,1.0,294.0,715.0769230769231,13,1.0,0.0,0.0
Neurodegeneration with brain iron accumulation 2b,185.0,185.0,1.0,1.0,185.0,185.0,1,1.0,0.0,0.0
Noonan syndrome with multiple lentigines,820.0,1226.5,4.0,1.0,820.0,1226.5,4,1.0,0.0,0.0
Neurodegeneration with brain iron accumulation 5,76.0,76.0,1.0,1.0,76.0,76.0,1,1.0,0.0,0.0
Nijmegen breakage syndrome,599.0,599.0,1.0,1.0,599.0,599.0,1,1.0,0.0,0.0
Otulipenia,89.0,89.0,1.0,1.0,89.0,89.0,1,1.0,0.0,0.0
Orofaciodigital syndrome,122.0,122.0,1.0,1.0,122.0,122.0,1,1.0,0.0,0.0
Plasminogen deficiency type I,438.0,438.0,1.0,1.0,438.0,438.0,1,1.0,0.0,0.0
Perrault syndrome,81.0,112.8,5.0,1.0,81.0,112.8,5,1.0,0.0,0.0
Perry syndrome,295.0,295.0,1.0,1.0,295.0,295.0,1,1.0,0.0,0.0
Peters anomaly,420.0,459.8,5.0,1.0,420.0,459.8,5,1.0,0.0,0.0
Peters plus syndrome,40.0,40.0,1.0,1.0,40.0,40.0,1,1.0,0.0,0.0
Peutz-Jeghers syndrome,586.0,586.0,1.0,1.0,586.0,586.0,1,1.0,0.0,0.0
Pfeiffer syndrome,734.5,734.5,2.0,1.0,734.5,734.5,2,1.0,0.0,0.0
Phelan-McDermid syndrome,135.0,135.0,2.0,1.0,135.0,135.0,2,1.0,0.0,0.0
Phenylketonuria,226.0,207.4,4.0,1.0,226.0,207.4,4,1.0,0.0,0.0
Phosphoglycerate kinase 1 deficiency,323.0,323.0,1.0,1.0,323.0,323.0,1,1.0,0.0,0.0
Phosphoribosylpyrophosphate synthetase superactivity,179.0,179.0,1.0,1.0,179.0,179.0,1,1.0,0.0,0.0
Pick's disease,2219.0,2219.0,1.0,1.0,2219.0,2219.0,1,1.0,0.0,0.0
Piebaldism,795.5,795.5,2.0,1.0,795.5,795.5,2,1.0,0.0,0.0
Pilomatrixoma,3354.0,3354.0,1.0,1.0,3354.0,3354.0,1,1.0,0.0,0.0
Pitt-Hopkins syndrome,311.0,311.0,1.0,1.0,311.0,311.0,1,1.0,0.0,0.0
Poikiloderma with neutropenia,43.0,43.0,1.0,1.0,43.0,43.0,1,1.0,0.0,0.0
Osteoarthritis,157.0,157.14285714285714,7.0,1.0,157.0,157.14285714285714,7,1.0,0.0,0.0
Polyarteritis nodosa,83.0,150.0,3.0,1.0,83.0,150.0,3,1.0,0.0,0.0
Polycystic kidney disease,274.0,245.33333333333334,3.0,1.0,274.0,245.33333333333334,3,1.0,0.0,0.0
Polycystic ovary syndrome,292.5,499.27777777777777,18.0,1.0,292.5,499.27777777777777,18,1.0,0.0,0.0
Polycythemia vera,1137.5,1137.5,2.0,1.0,1137.5,1137.5,2,1.0,0.0,0.0
Polymicrogyria,129.5,129.5,2.0,1.0,129.5,129.5,2,1.0,0.0,0.0
Pontocerebellar hypoplasia,55.5,67.7,10.0,1.0,55.5,67.7,10,1.0,0.0,0.0
Popliteal pterygium syndrome,200.0,200.0,1.0,1.0,200.0,200.0,1,1.0,0.0,0.0
Porphyria,86.0,203.0,9.0,1.0,86.0,203.0,9,1.0,0.0,0.0
Postaxial acrofacial dysostosis,62.0,62.0,1.0,1.0,62.0,62.0,1,1.0,0.0,0.0
Potocki-Lupski syndrome,99.0,99.0,1.0,1.0,99.0,99.0,1,1.0,0.0,0.0
Potocki-Shaffer syndrome,74.0,90.0,3.0,1.0,74.0,90.0,3,1.0,0.0,0.0
PrP Systemic Amyloidosis,488.0,488.0,2.0,1.0,488.0,488.0,2,1.0,0.0,0.0
Prader-Willi syndrome,89.0,89.0,2.0,1.0,89.0,89.0,2,1.0,0.0,0.0
Primary autosomal recessive microcephaly,117.0,117.42857142857143,7.0,0.875,117.0,117.42857142857143,7,0.875,0.0,0.0
Peroxisomal acyl-CoA oxidase deficiency,78.0,78.0,1.0,1.0,78.0,78.0,1,1.0,0.0,0.0
Permanent neonatal diabetes mellitus,353.0,460.4,5.0,1.0,353.0,460.4,5,1.0,0.0,0.0
Periventricular nodular heterotopia,383.0,389.6666666666667,3.0,1.0,383.0,389.6666666666667,3,1.0,0.0,0.0
Pentosuria,79.0,79.0,1.0,1.0,79.0,79.0,1,1.0,0.0,0.0
Osteochondritis dissecans,176.0,176.0,1.0,1.0,176.0,176.0,1,1.0,0.0,0.0
Osteogenesis imperfecta,99.0,188.11363636363637,27.0,1.0,99.0,188.11363636363637,27,1.0,0.0,0.0
Osteoglophonic dysplasia,758.0,758.0,1.0,1.0,758.0,758.0,1,1.0,0.0,0.0
Osteopetrosis,192.0,288.05,13.0,1.0,192.0,288.05,13,1.0,0.0,0.0
Otopalatodigital syndrome type 1,697.0,697.0,1.0,1.0,697.0,697.0,1,1.0,0.0,0.0
Otopalatodigital syndrome type 2,697.0,697.0,1.0,1.0,697.0,697.0,1,1.0,0.0,0.0
"Otospondylomegaepiphyseal dysplasia, autosomal dominant",86.0,86.0,1.0,1.0,86.0,86.0,1,1.0,0.0,0.0
"Otospondylomegaepiphyseal dysplasia, autosomal recessive",86.0,86.0,1.0,1.0,86.0,86.0,1,1.0,0.0,0.0
Nasu-Hakola disease,227.5,227.5,2.0,1.0,227.5,227.5,2,1.0,0.0,0.0
Ovarian cancer,599.0,1750.0526315789473,19.0,1.0,599.0,1750.0526315789473,19,1.0,0.0,0.0
PHGDH deficiency,318.0,318.0,1.0,1.0,318.0,318.0,1,1.0,0.0,0.0
Pachyonychia congenita,139.0,131.4,5.0,1.0,139.0,131.4,5,1.0,0.0,0.0
Paget's disease of bone 5,804.0,804.0,1.0,1.0,804.0,804.0,1,1.0,0.0,0.0
Pallister-Hall syndrome,217.0,217.0,1.0,1.0,217.0,217.0,1,1.0,0.0,0.0
Palmoplantar keratoderma-deafness syndrome,860.0,860.0,1.0,0.5,860.0,860.0,1,0.5,0.0,0.0
Panhypopituitarism,97.0,176.2962962962963,27.0,1.0,97.0,176.2962962962963,27,1.0,0.0,0.0
Pantothenate kinase-associated neurodegeneration,101.0,101.0,1.0,1.0,101.0,101.0,1,1.0,0.0,0.0
Paraganglioma,260.0,405.14285714285717,7.0,1.0,260.0,405.14285714285717,7,1.0,0.0,0.0
Paramyotonia congenita of Von Eulenburg,164.0,164.0,1.0,1.0,164.0,164.0,1,1.0,0.0,0.0
Parathyroid carcinoma,262.0,262.0,1.0,1.0,262.0,262.0,1,1.0,0.0,0.0
Parietal foramina,77.0,77.0,2.0,1.0,77.0,77.0,2,1.0,0.0,0.0
Parkinson's disease,222.0,423.2950819672131,51.0,0.9807692307692307,222.0,423.2950819672131,51,0.9807692307692307,0.0,0.0
Paroxysmal extreme pain disorder,203.0,203.0,1.0,1.0,203.0,203.0,1,1.0,0.0,0.0
Paroxysmal nocturnal hemoglobinuria,73.5,73.5,2.0,1.0,73.5,73.5,2,1.0,0.0,0.0
Partington syndrome,103.0,103.0,1.0,1.0,103.0,103.0,1,1.0,0.0,0.0
Patau syndrome,34.0,34.0,1.0,1.0,34.0,34.0,1,1.0,0.0,0.0
Peeling skin syndrome 2,41.0,41.0,1.0,1.0,41.0,41.0,1,1.0,0.0,0.0
Pelizaeus-Merzbacher disease,192.0,192.0,1.0,1.0,192.0,192.0,1,1.0,0.0,0.0
Pendred Syndrome,331.0,331.0,1.0,1.0,331.0,331.0,1,1.0,0.0,0.0
Native American myopathy,35.0,35.0,1.0,1.0,35.0,35.0,1,1.0,0.0,0.0
17-beta hydroxysteroid dehydrogenase 3 deficiency,65.0,65.0,1.0,1.0,65.0,65.0,1,1.0,0.0,0.0
Narcolepsy,691.5,1550.625,8.0,1.0,691.5,1550.625,8,1.0,0.0,0.0
MYH-9 related disease,695.0,695.0,1.0,1.0,695.0,695.0,1,1.0,0.0,0.0
Lissencephaly 3,317.5,317.5,2.0,1.0,317.5,317.5,2,1.0,0.0,0.0
Localized insulin-derived Amyloidosis,1031.0,1544.0,5.0,1.0,1031.0,1544.0,5,1.0,0.0,0.0
