Disease,median_pubmed_filtered,mean_pubmed_filtered,n_genes_with_pubmed_filtered,coverage_filtered,median_pubmed_full,mean_pubmed_full,n_genes_with_pubmed_full,coverage_full,delta_median_full_minus_filtered,delta_mean_full_minus_filtered
Multiple epiphyseal dysplasia,68.0,89.66666666666667,6.0,1.0,68.0,89.66666666666667,6,1.0,0.0,0.0
Multiple mitochondrial dysfunctions syndrome,42.5,42.5,2.0,1.0,42.5,42.5,2,1.0,0.0,0.0
Multiple myeloma,214.0,655.1111111111111,9.0,1.0,214.0,655.1111111111111,9,1.0,0.0,0.0
Multiple sclerosis,574.0,968.8,5.0,1.0,574.0,968.8,5,1.0,0.0,0.0
Multiple system atrophy,1150.0,1150.0,2.0,1.0,1150.0,1150.0,2,1.0,0.0,0.0
Mycosis fungoides,316.0,398.2,5.0,1.0,316.0,398.2,5,1.0,0.0,0.0
Myelofibrosis,604.0,785.6666666666666,6.0,1.0,604.0,785.6666666666666,6,1.0,0.0,0.0
Primary ciliary dyskinesia,30.0,53.31111111111111,51.0,0.8360655737704918,30.0,53.31111111111111,51,0.8360655737704918,0.0,0.0
Myofibrillar myopathy 9,467.0,467.0,1.0,1.0,467.0,467.0,1,1.0,0.0,0.0
Myopia,68.0,83.14285714285714,7.0,1.0,68.0,83.14285714285714,7,1.0,0.0,0.0
Myotonia congenita,139.0,139.0,1.0,1.0,139.0,139.0,1,1.0,0.0,0.0
Myotonic dystrophy type 1,165.0,165.0,2.0,1.0,165.0,165.0,2,1.0,0.0,0.0
N-acetylglutamate synthase deficiency,37.0,37.0,1.0,1.0,37.0,37.0,1,1.0,0.0,0.0
NGLY1-deficiency,78.0,78.0,1.0,1.0,78.0,78.0,1,1.0,0.0,0.0
Mowat-Wilson syndrome,350.0,350.0,1.0,1.0,350.0,350.0,1,1.0,0.0,0.0
Mosaic variegated aneuploidy syndrome,181.0,183.0,3.0,1.0,181.0,183.0,3,1.0,0.0,0.0
Monilethrix,44.5,43.0,4.0,1.0,44.5,43.0,4,1.0,0.0,0.0
Molybdenum cofactor deficiency,45.0,69.66666666666667,3.0,1.0,45.0,69.66666666666667,3,1.0,0.0,0.0
Megaloblastic anemia,64.0,64.0,2.0,1.0,64.0,64.0,2,1.0,0.0,0.0
Meier-Gorlin syndrome,98.0,116.6,5.0,1.0,98.0,116.6,5,1.0,0.0,0.0
Melanoma,243.0,930.9,30.0,1.0,243.0,930.9,30,1.0,0.0,0.0
Melnick-Needles syndrome,697.0,697.0,1.0,1.0,697.0,697.0,1,1.0,0.0,0.0
Melorheostosis,523.0,523.0,1.0,1.0,523.0,523.0,1,1.0,0.0,0.0
Menkes disease,214.0,214.0,1.0,1.0,214.0,214.0,1,1.0,0.0,0.0
Metabolic dysfunction-associated steatotic liver disease,181.5,250.66666666666666,6.0,1.0,181.5,250.66666666666666,6,1.0,0.0,0.0
Metachromatic leukodystrophy,149.0,135.66666666666666,4.0,1.0,149.0,135.66666666666666,4,1.0,0.0,0.0
Metaphyseal dysplasia,110.0,110.0,1.0,1.0,110.0,110.0,1,1.0,0.0,0.0
Metatropic dysplasia,310.0,310.0,1.0,1.0,310.0,310.0,1,1.0,0.0,0.0
Methylmalonic acidemia,35.0,54.8,5.0,1.0,35.0,54.8,5,1.0,0.0,0.0
Mevalonic aciduria,122.0,163.0,3.0,1.0,122.0,163.0,3,1.0,0.0,0.0
Microcephalic osteodysplastic primordial dwarfism type II,148.0,148.0,1.0,1.0,148.0,148.0,1,1.0,0.0,0.0
Microphthalmia with limb anomalies,47.0,47.0,1.0,1.0,47.0,47.0,1,1.0,0.0,0.0
Microvillus inclusion disease,101.5,101.5,2.0,1.0,101.5,101.5,2,1.0,0.0,0.0
Miller-Dieker lissencephaly syndrome,335.0,382.6666666666667,3.0,1.0,335.0,382.6666666666667,3,1.0,0.0,0.0
Mismatch repair cancer syndrome,732.5,708.0,4.0,1.0,732.5,708.0,4,1.0,0.0,0.0
Mitochondrial DNA depletion syndrome 13,53.0,53.0,1.0,1.0,53.0,53.0,1,1.0,0.0,0.0
Mitochondrial DNA depletion syndrome 2,58.0,58.0,1.0,1.0,58.0,58.0,1,1.0,0.0,0.0
Mitochondrial DNA depletion syndrome 3,57.0,57.0,1.0,1.0,57.0,57.0,1,1.0,0.0,0.0
Mitochondrial DNA depletion syndrome 4b,189.0,214.0,3.0,1.0,189.0,214.0,3,1.0,0.0,0.0
Mitochondrial DNA depletion syndrome 5,116.0,116.0,1.0,1.0,116.0,116.0,1,1.0,0.0,0.0
Mitochondrial DNA depletion syndrome 6,57.0,57.0,1.0,1.0,57.0,57.0,1,1.0,0.0,0.0
Mitochondrial DNA depletion syndrome 7,140.0,140.0,1.0,1.0,140.0,140.0,1,1.0,0.0,0.0
Mitochondrial DNA depletion syndrome 8a,104.0,104.0,1.0,1.0,104.0,104.0,1,1.0,0.0,0.0
Mitochondrial complex I deficiency,70.0,81.5,34.0,0.8095238095238095,70.0,81.91428571428571,34,0.8095238095238095,0.0,0.41428571428571104
Mitochondrial complex III deficiency,62.5,79.5,8.0,0.8888888888888888,62.5,79.5,8,0.8888888888888888,0.0,0.0
Mitochondrial trifunctional protein deficiency,278.5,278.5,2.0,1.0,278.5,278.5,2,1.0,0.0,0.0
Miyoshi muscular dystrophy,120.5,120.5,2.0,1.0,120.5,120.5,2,1.0,0.0,0.0
Myeloid and lymphoid neoplasms associated with PDGFRA rearrangement,368.0,368.0,2.0,1.0,368.0,368.0,2,1.0,0.0,0.0
Primary spontaneous pneumothorax,169.0,169.0,1.0,1.0,169.0,169.0,1,1.0,0.0,0.0
Primary hyperoxaluria,58.0,71.66666666666667,3.0,1.0,58.0,71.66666666666667,3,1.0,0.0,0.0
Von Hippel-Lindau disease,916.0,916.0,1.0,1.0,916.0,916.0,1,1.0,0.0,0.0
Warfarin sensitivity,300.0,406.2,5.0,1.0,300.0,406.2,5,1.0,0.0,0.0
Warfarin resistance,460.0,726.7142857142857,7.0,1.0,460.0,726.7142857142857,7,1.0,0.0,0.0
Walker-Warburg syndrome,49.0,58.61538461538461,13.0,1.0,49.0,58.61538461538461,13,1.0,0.0,0.0
Waardenburg syndrome,260.0,293.7142857142857,6.0,1.0,260.0,293.7142857142857,6,1.0,0.0,0.0
WAGR syndrome,758.0,1245.6666666666667,3.0,1.0,758.0,1245.6666666666667,3,1.0,0.0,0.0
Von Willebrand's disease,1033.0,1033.0,1.0,1.0,1033.0,1033.0,1,1.0,0.0,0.0
Vohwinkel syndrome,860.0,860.0,1.0,0.5,860.0,860.0,1,0.5,0.0,0.0
Primary hypoalphalipoproteinemia 1,987.5,987.5,2.0,1.0,987.5,987.5,2,1.0,0.0,0.0
Vitiligo,394.5,394.5,2.0,1.0,394.5,394.5,2,1.0,0.0,0.0
Vitelliform macular dystrophy,158.5,158.5,2.0,1.0,158.5,158.5,2,1.0,0.0,0.0
Vitamin D-dependent rickets,172.5,172.5,2.0,1.0,172.5,172.5,2,1.0,0.0,0.0
Vici syndrome,45.0,45.0,1.0,1.0,45.0,45.0,1,1.0,0.0,0.0
Vibratory urticaria,54.0,54.0,1.0,1.0,54.0,54.0,1,1.0,0.0,0.0
Vestibular schwannomatosis,405.0,405.0,1.0,1.0,405.0,405.0,1,1.0,0.0,0.0
Warsaw breakage syndrome,75.0,75.0,1.0,1.0,75.0,75.0,1,1.0,0.0,0.0
Weaver syndrome,1545.0,1545.0,1.0,1.0,1545.0,1545.0,1,1.0,0.0,0.0
Weill-Marchesani syndrome,278.0,278.0,2.0,1.0,278.0,278.0,2,1.0,0.0,0.0
Werner syndrome,372.0,372.0,1.0,1.0,372.0,372.0,1,1.0,0.0,0.0
Weyers acrofacial dysostosis,38.5,38.5,2.0,1.0,38.5,38.5,2,1.0,0.0,0.0
White sponge nevus,86.0,86.0,2.0,1.0,86.0,86.0,2,1.0,0.0,0.0
White-Sutton syndrome,137.0,137.0,1.0,1.0,137.0,137.0,1,1.0,0.0,0.0
Wiedemann-Rautenstrauch syndrome,130.0,130.0,1.0,1.0,130.0,130.0,1,1.0,0.0,0.0
Wild type beta-2-microglobulin-related Amyloidosis,396.5,1532.5,4.0,1.0,396.5,1532.5,4,1.0,0.0,0.0
Wild-type transthyretin-related Amyloidosis,663.0,663.0,1.0,1.0,663.0,663.0,1,1.0,0.0,0.0
Williams-Beuren syndrome,71.0,106.53333333333333,27.0,0.9642857142857143,71.0,106.53333333333333,27,0.9642857142857143,0.0,0.0
Wilson disease,625.5,625.5,2.0,1.0,625.5,625.5,2,1.0,0.0,0.0
Winchester syndrome,608.0,608.0,1.0,1.0,608.0,608.0,1,1.0,0.0,0.0
Wiskott-Aldrich syndrome,272.0,272.0,1.0,1.0,272.0,272.0,1,1.0,0.0,0.0
Wolf-Hirschhorn syndrome,146.5,133.5,4.0,1.0,146.5,133.5,4,1.0,0.0,0.0
Wolff-Parkinson-White syndrome,149.0,149.0,1.0,1.0,149.0,149.0,1,1.0,0.0,0.0
Wolfram syndrome,188.5,188.5,2.0,1.0,188.5,188.5,2,1.0,0.0,0.0
Very long chain acyl-CoA dehydrogenase deficiency,138.0,138.0,1.0,1.0,138.0,138.0,1,1.0,0.0,0.0
Variably Protease-Sensitive Prionopathy,863.0,863.0,1.0,1.0,863.0,863.0,1,1.0,0.0,0.0
Van der Woude syndrome,127.0,127.0,2.0,1.0,127.0,127.0,2,1.0,0.0,0.0
Trichorhinophalangeal syndrome type I,173.0,173.0,1.0,1.0,173.0,173.0,1,1.0,0.0,0.0
Thiopurine S-methyltransferase deficiency,312.0,312.0,1.0,1.0,312.0,312.0,1,1.0,0.0,0.0
Thoracic aortic aneurysm,419.5,453.0,8.0,1.0,419.5,453.0,8,1.0,0.0,0.0
Thrombotic thrombocytopenic purpura,539.0,539.0,1.0,1.0,539.0,539.0,1,1.0,0.0,0.0
Thyroid gland medullary carcinoma,169.5,1036.0,6.0,1.0,169.5,1036.0,6,1.0,0.0,0.0
Tibial muscular dystrophy,467.0,467.0,1.0,1.0,467.0,467.0,1,1.0,0.0,0.0
Tietz syndrome,386.0,386.0,1.0,1.0,386.0,386.0,1,1.0,0.0,0.0
Timothy syndrome,396.0,396.0,1.0,1.0,396.0,396.0,1,1.0,0.0,0.0
Torrance type platyspondylic dysplasia,381.0,381.0,1.0,1.0,381.0,381.0,1,1.0,0.0,0.0
Torsion dystonia 6,105.0,105.0,1.0,1.0,105.0,105.0,1,1.0,0.0,0.0
Townes-Brocks syndrome,87.0,87.0,1.0,1.0,87.0,87.0,1,1.0,0.0,0.0
Transcobalamin II deficiency,146.0,146.0,1.0,1.0,146.0,146.0,1,1.0,0.0,0.0
Transient myeloproliferative syndrome,475.0,475.0,2.0,1.0,475.0,475.0,2,1.0,0.0,0.0
Transthyretin amyloidosis,663.0,663.0,1.0,1.0,663.0,663.0,1,1.0,0.0,0.0
Treacher Collins syndrome,151.0,155.66666666666666,3.0,1.0,151.0,155.66666666666666,3,1.0,0.0,0.0
Trichorhinophalangeal syndrome type II,173.0,179.0,3.0,1.0,173.0,179.0,3,1.0,0.0,0.0
VEXAS syndrome,343.0,343.0,1.0,1.0,343.0,343.0,1,1.0,0.0,0.0
Trichothiodystrophy,123.0,195.5,10.0,1.0,123.0,195.5,10,1.0,0.0,0.0
Trimethylaminuria,132.0,132.0,1.0,1.0,132.0,132.0,1,1.0,0.0,0.0
Triosephosphate isomerase deficiency,237.0,237.0,1.0,1.0,237.0,237.0,1,1.0,0.0,0.0
Troyer syndrome,131.0,131.0,1.0,1.0,131.0,131.0,1,1.0,0.0,0.0
Tuberous sclerosis,446.5,446.5,2.0,1.0,446.5,446.5,2,1.0,0.0,0.0
Turner syndrome,138.0,138.0,1.0,1.0,138.0,138.0,1,1.0,0.0,0.0
Type 1 diabetes mellitus,934.5,1287.357142857143,14.0,1.0,934.5,1287.357142857143,14,1.0,0.0,0.0
Type 2 diabetes mellitus,284.0,1476.25,4.0,1.0,284.0,1476.25,4,1.0,0.0,0.0
Tyrosinemia,40.0,47.333333333333336,3.0,1.0,40.0,47.333333333333336,3,1.0,0.0,0.0
UV-sensitive syndrome,109.0,139.66666666666666,3.0,1.0,109.0,139.66666666666666,3,1.0,0.0,0.0
Ulcerative colitis,266.5,628.6666666666666,6.0,1.0,266.5,628.6666666666666,6,1.0,0.0,0.0
Urinary bladder cancer,716.0,1428.5555555555557,27.0,1.0,716.0,1428.5555555555557,27,1.0,0.0,0.0
Urofacial syndrome,60.0,60.0,1.0,1.0,60.0,60.0,1,1.0,0.0,0.0
Usher syndrome,82.0,88.8,11.0,1.0,82.0,88.8,11,1.0,0.0,0.0
Woodhouse-Sakati syndrome,34.0,34.0,1.0,1.0,34.0,34.0,1,1.0,0.0,0.0
X-linked Aarskog syndrome,65.0,65.0,1.0,1.0,65.0,65.0,1,1.0,0.0,0.0
X-linked adrenal hypoplasia congenita,167.0,167.0,1.0,1.0,167.0,167.0,1,1.0,0.0,0.0
maturity-onset diabetes of the young,247.5,313.64285714285717,14.0,1.0,247.5,313.64285714285717,14,1.0,0.0,0.0
cone-rod dystrophy,59.0,94.21311475409836,39.0,0.9512195121951219,59.0,94.21311475409836,39,0.9512195121951219,0.0,0.0
"contractures, pterygia, and spondylocarpotarsal fusion syndrome",50.0,52.5,4.0,1.0,50.0,52.5,4,1.0,0.0,0.0
corticosteroid-binding globulin deficiency,108.0,108.0,1.0,1.0,108.0,108.0,1,1.0,0.0,0.0
craniofacial-deafness-hand syndrome,258.0,258.0,1.0,1.0,258.0,258.0,1,1.0,0.0,0.0
deafness-dystonia-optic neuronopathy syndrome,84.0,84.0,1.0,1.0,84.0,84.0,1,1.0,0.0,0.0
dentatorubral-pallidoluysian atrophy,114.0,114.0,1.0,1.0,114.0,114.0,1,1.0,0.0,0.0
"dystonia, DOPA-responsive",226.0,182.66666666666666,3.0,1.0,226.0,182.66666666666666,3,1.0,0.0,0.0
"fructose-1,6-bisphosphatase deficiency",80.0,80.0,1.0,1.0,80.0,80.0,1,1.0,0.0,0.0
hand-foot-genital syndrome,103.0,103.0,1.0,1.0,103.0,103.0,1,1.0,0.0,0.0
hemolytic-uremic syndrome,143.0,270.72727272727275,11.0,1.0,143.0,270.72727272727275,11,1.0,0.0,0.0
histiocytosis-lymphadenopathy plus syndrome,52.0,52.0,1.0,1.0,52.0,52.0,1,1.0,0.0,0.0
hyperferritinemia-cataract syndrome,241.0,241.0,1.0,1.0,241.0,241.0,1,1.0,0.0,0.0
limb-girdle muscular dystrophy,72.0,128.92753623188406,41.0,0.9761904761904762,72.0,128.92753623188406,41,0.9761904761904762,0.0,0.0
lymphedema-distichiasis syndrome,169.0,169.0,1.0,1.0,169.0,169.0,1,1.0,0.0,0.0
megacystis-microcolon-intestinal hypoperistalsis syndrome,139.0,123.25,4.0,1.0,139.0,123.25,4,1.0,0.0,0.0
cartilage-hair hypoplasia,70.0,70.0,1.0,1.0,70.0,70.0,1,1.0,0.0,0.0
"microcephaly, seizures, and developmental delay",117.0,117.0,1.0,1.0,117.0,117.0,1,1.0,0.0,0.0
myostatin-related muscle hypertrophy,225.0,225.0,1.0,1.0,225.0,225.0,1,1.0,0.0,0.0
nail-patella syndrome,96.0,96.0,1.0,1.0,96.0,96.0,1,1.0,0.0,0.0
obsessive-compulsive disorder,1567.5,1567.5,2.0,1.0,1567.5,1567.5,2,1.0,0.0,0.0
osteoporosis-pseudoglioma syndrome,325.0,325.0,1.0,1.0,325.0,325.0,1,1.0,0.0,0.0
platelet-type bleeding disorder 11,220.0,220.0,1.0,1.0,220.0,220.0,1,1.0,0.0,0.0
proteasome-associated autoinflammatory syndrome 1,167.0,167.0,1.0,1.0,167.0,167.0,1,1.0,0.0,0.0
pyridoxine-dependent epilepsy,123.0,123.0,1.0,1.0,123.0,123.0,1,1.0,0.0,0.0
scalp-ear-nipple syndrome,43.0,43.0,1.0,1.0,43.0,43.0,1,1.0,0.0,0.0
short-rib thoracic dysplasia 9 with or without polydactyly,42.0,42.0,1.0,1.0,42.0,42.0,1,1.0,0.0,0.0
speech-language disorder-1,184.0,184.0,1.0,1.0,184.0,184.0,1,1.0,0.0,0.0
tarsal-carpal coalition syndrome,113.0,113.0,1.0,1.0,113.0,113.0,1,1.0,0.0,0.0
thiamine-responsive megaloblastic anemia syndrome,84.0,84.0,1.0,1.0,84.0,84.0,1,1.0,0.0,0.0
thrombocytopenia-absent radius syndrome,183.0,183.0,1.0,1.0,183.0,183.0,1,1.0,0.0,0.0
cold-induced sweating syndrome,39.0,39.0,2.0,1.0,39.0,39.0,2,1.0,0.0,0.0
carnitine-acylcarnitine translocase deficiency,54.0,54.0,1.0,1.0,54.0,54.0,1,1.0,0.0,0.0
X-linked agammaglobulinemia,304.0,246.66666666666666,3.0,1.0,304.0,246.66666666666666,3,1.0,0.0,0.0
X-linked spondyloepiphyseal dysplasia tarda,66.0,66.0,1.0,1.0,66.0,66.0,1,1.0,0.0,0.0
X-linked cardiac valvular dysplasia,697.0,697.0,1.0,1.0,697.0,697.0,1,1.0,0.0,0.0
X-linked chondrodysplasia punctata 1,30.0,30.0,1.0,1.0,30.0,30.0,1,1.0,0.0,0.0
X-linked chondrodysplasia punctata 2,83.0,83.0,1.0,1.0,83.0,83.0,1,1.0,0.0,0.0
X-linked dilated cardiomyopathy,585.0,585.0,1.0,1.0,585.0,585.0,1,1.0,0.0,0.0
X-linked dystonia-parkinsonism,243.0,243.0,1.0,1.0,243.0,243.0,1,1.0,0.0,0.0
X-linked hyper IgM syndrome,548.0,548.0,1.0,1.0,548.0,548.0,1,1.0,0.0,0.0
"X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection, and neoplasia",129.0,129.0,1.0,1.0,129.0,129.0,1,1.0,0.0,0.0
X-linked intellectual developmental disorder 109,56.0,56.0,1.0,1.0,56.0,56.0,1,1.0,0.0,0.0
X-linked intellectual disability-psychosis-macroorchidism syndrome,736.0,736.0,1.0,1.0,736.0,736.0,1,1.0,0.0,0.0
X-linked juvenile retinoschisis 1,101.0,101.0,1.0,1.0,101.0,101.0,1,1.0,0.0,0.0
X-linked lissencephaly 2,65.0,65.0,2.0,1.0,65.0,65.0,2,1.0,0.0,0.0
X-linked severe combined immunodeficiency,158.0,158.0,1.0,1.0,158.0,158.0,1,1.0,0.0,0.0
X-linked sideroblastic anemia with ataxia,103.0,103.0,1.0,1.0,103.0,103.0,1,1.0,0.0,0.0
X-linked spinal muscular atrophy 2,343.0,343.0,1.0,1.0,343.0,343.0,1,1.0,0.0,0.0
X-linked thrombocytopenia with beta-thalassemia,326.0,326.0,1.0,1.0,326.0,326.0,1,1.0,0.0,0.0
camptodactyly-arthropathy-coxa vara-pericarditis syndrome,303.0,306.6666666666667,3.0,1.0,303.0,306.6666666666667,3,1.0,0.0,0.0
Xanthinuria,97.5,97.5,2.0,1.0,97.5,97.5,2,1.0,0.0,0.0
Xeroderma pigmentosum,271.0,373.09090909090907,9.0,1.0,271.0,373.09090909090907,9,1.0,0.0,0.0
Xia-Gibbs Syndrome,62.0,62.0,1.0,1.0,62.0,62.0,1,1.0,0.0,0.0
Zellweger syndrome,60.5,70.875,13.0,1.0,60.5,70.875,13,1.0,0.0,0.0
adult-onset autosomal dominant demyelinating leukodystrophy,372.0,372.0,1.0,1.0,372.0,372.0,1,1.0,0.0,0.0
adult-onset leukoencephalopathy with axonal spheroids and pigmented glia,271.0,271.0,1.0,1.0,271.0,271.0,1,1.0,0.0,0.0
alpha-mannosidosis,76.0,76.0,1.0,1.0,76.0,76.0,1,1.0,0.0,0.0
alpha-methylacyl-CoA racemase deficiency,134.0,134.0,1.0,1.0,134.0,134.0,1,1.0,0.0,0.0
ankyloblepharon-ectodermal defects-cleft lip/palate syndrome,963.0,963.0,1.0,1.0,963.0,963.0,1,1.0,0.0,0.0
ankyrin-B-related cardiac arrhythmia,137.0,137.0,1.0,1.0,137.0,137.0,1,1.0,0.0,0.0
beta-ketothiolase deficiency,174.0,174.0,1.0,1.0,174.0,174.0,1,1.0,0.0,0.0
beta-mannosidosis,54.0,54.0,1.0,1.0,54.0,54.0,1,1.0,0.0,0.0
biotin-responsive basal ganglia disease,61.0,61.0,1.0,1.0,61.0,61.0,1,1.0,0.0,0.0
"blepharophimosis, ptosis, and epicanthus inversus syndrome",219.0,219.0,1.0,1.0,219.0,219.0,1,1.0,0.0,0.0
Thanatophoric dysplasia,615.0,615.0,1.0,1.0,615.0,615.0,1,1.0,0.0,0.0
Tetraamelia syndrome,70.5,70.5,2.0,1.0,70.5,70.5,2,1.0,0.0,0.0
Terminal osseous dysplasia,697.0,697.0,1.0,1.0,697.0,697.0,1,1.0,0.0,0.0
Roberts syndrome,59.0,59.0,1.0,1.0,59.0,59.0,1,1.0,0.0,0.0
RNASET2-deficient cystic leukoencephalopathy,73.0,73.0,1.0,1.0,73.0,73.0,1,1.0,0.0,0.0
Rapadilino syndrome,137.0,137.0,1.0,1.0,137.0,137.0,1,1.0,0.0,0.0
Refsum disease,52.5,52.5,2.0,1.0,52.5,52.5,2,1.0,0.0,0.0
Renal cell carcinoma,183.5,183.5,2.0,1.0,183.5,183.5,2,1.0,0.0,0.0
Renal coloboma syndrome,190.0,190.0,1.0,1.0,190.0,190.0,1,1.0,0.0,0.0
Renpenning syndrome,122.0,122.0,1.0,1.0,122.0,122.0,1,1.0,0.0,0.0
Restless legs syndrome,98.0,89.16666666666667,6.0,1.0,98.0,89.16666666666667,6,1.0,0.0,0.0
Restrictive cardiomyopathy,349.0,332.8,5.0,1.0,349.0,332.8,5,1.0,0.0,0.0
Retinitis pigmentosa,56.0,99.47402597402598,108.0,0.972972972972973,56.0,99.47402597402598,108,0.972972972972973,0.0,0.0
Retinoblastoma,511.0,654.3333333333334,3.0,1.0,511.0,654.3333333333334,3,1.0,0.0,0.0
Rett syndrome,736.0,736.0,1.0,1.0,736.0,736.0,1,1.0,0.0,0.0
Rhizomelic chondrodysplasia punctata,77.0,88.14285714285714,4.0,1.0,77.0,88.14285714285714,4,1.0,0.0,0.0
Right atrial isomerism,51.5,121.2,20.0,1.0,51.5,121.2,20,1.0,0.0,0.0
Riley-Day syndrome,177.0,177.0,1.0,1.0,177.0,177.0,1,1.0,0.0,0.0
Robinow syndrome,116.5,153.75,8.0,1.0,116.5,153.75,8,1.0,0.0,0.0
Pyruvate decarboxylase deficiency,168.0,148.4,5.0,1.0,168.0,148.4,5,1.0,0.0,0.0
Rosacea,1913.0,1883.0,4.0,1.0,1913.0,1883.0,4,1.0,0.0,0.0
Rothmund-Thomson syndrome,137.0,137.0,1.0,1.0,137.0,137.0,1,1.0,0.0,0.0
Rubinstein-Taybi syndrome,1007.0,848.6666666666666,3.0,1.0,1007.0,848.6666666666666,3,1.0,0.0,0.0
SADDAN,615.0,615.0,1.0,1.0,615.0,615.0,1,1.0,0.0,0.0
SATB2-associated syndrome,194.0,194.0,1.0,1.0,194.0,194.0,1,1.0,0.0,0.0
SHORT syndrome,872.0,872.0,1.0,1.0,872.0,872.0,1,1.0,0.0,0.0
SOST-related sclerosing bone dysplasia,330.0,330.0,1.0,1.0,330.0,330.0,1,1.0,0.0,0.0
STING-associated vasculopathy with onset in infancy,501.0,501.0,1.0,1.0,501.0,501.0,1,1.0,0.0,0.0
Saethre-Chotzen syndrome,748.0,748.0,1.0,1.0,748.0,748.0,1,1.0,0.0,0.0
Sandhoff disease,138.0,138.0,1.0,1.0,138.0,138.0,1,1.0,0.0,0.0
Saul-Wilson syndrome,56.0,56.0,1.0,1.0,56.0,56.0,1,1.0,0.0,0.0
Schimke immuno-osseous dysplasia,102.0,102.0,1.0,1.0,102.0,102.0,1,1.0,0.0,0.0
Schindler disease,52.0,52.0,1.0,1.0,52.0,52.0,1,1.0,0.0,0.0
Schinzel Giedion syndrome,86.0,86.0,1.0,1.0,86.0,86.0,1,1.0,0.0,0.0
Pyruvate kinase deficiency of red cells,143.0,143.0,1.0,1.0,143.0,143.0,1,1.0,0.0,0.0
Pyruvate carboxylase deficiency disease,166.0,166.0,1.0,1.0,166.0,166.0,1,1.0,0.0,0.0
Schizophrenia,123.0,562.3125,16.0,0.9411764705882353,123.0,562.3125,16,0.9411764705882353,0.0,0.0
Progressive supranuclear palsy,2219.0,2219.0,1.0,1.0,2219.0,2219.0,1,1.0,0.0,0.0
Primary hypomagnesemia,71.0,71.0,1.0,1.0,71.0,71.0,1,1.0,0.0,0.0
Primary ovarian insufficiency 1,914.0,914.0,1.0,1.0,914.0,914.0,1,1.0,0.0,0.0
Primary polycythemia,367.0,461.8,6.0,1.0,367.0,461.8,6,1.0,0.0,0.0
Primary pulmonary hypertension,139.5,289.5,10.0,1.0,139.5,289.5,10,1.0,0.0,0.0
Klinefelter syndrome,85.0,114.72727272727273,33.0,1.0,85.0,114.72727272727273,33,1.0,0.0,0.0
Prion disease,863.0,863.0,1.0,1.0,863.0,1012.8823529411765,10,1.0,0.0,149.88235294117646
Progeria,1073.0,1073.0,1.0,1.0,1073.0,1073.0,1,1.0,0.0,0.0
Progressive familial heart block,108.0,257.5,4.0,1.0,108.0,257.5,4,1.0,0.0,0.0
Progressive familial intrahepatic cholestasis,172.0,145.33333333333334,3.0,1.0,172.0,145.33333333333334,3,1.0,0.0,0.0
Progressive myoclonus epilepsy 1A,162.0,162.0,1.0,1.0,162.0,162.0,1,1.0,0.0,0.0
Progressive myoclonus epilepsy 1B,49.0,49.0,1.0,1.0,49.0,49.0,1,1.0,0.0,0.0
Progressive myoclonus epilepsy 4,142.0,142.0,1.0,1.0,142.0,142.0,1,1.0,0.0,0.0
Progressive osseous heteroplasia,691.0,691.0,1.0,1.0,691.0,691.0,1,1.0,0.0,0.0
Progressive pseudorheumatoid arthropathy of childhood,78.0,78.0,1.0,1.0,78.0,78.0,1,1.0,0.0,0.0
Prolactinoma,344.0,344.0,1.0,1.0,344.0,344.0,1,1.0,0.0,0.0
Pyridoxamine 5'-phosphate oxidase deficiency,52.0,52.0,1.0,1.0,52.0,52.0,1,1.0,0.0,0.0
Prolidase deficiency,135.0,135.0,1.0,1.0,135.0,135.0,1,1.0,0.0,0.0
Propionic acidemia,130.0,130.0,2.0,1.0,130.0,130.0,2,1.0,0.0,0.0
Prostate cancer,270.0,786.9444444444445,36.0,1.0,270.0,786.9444444444445,36,1.0,0.0,0.0
Protein C deficiency,403.0,403.0,1.0,1.0,403.0,403.0,1,1.0,0.0,0.0
Protein S deficiency,260.0,260.0,1.0,1.0,260.0,260.0,1,1.0,0.0,0.0
Proteus syndrome,3744.0,3744.0,1.0,1.0,3744.0,3744.0,1,1.0,0.0,0.0
Prothrombin deficiency,1486.0,1486.0,1.0,1.0,1486.0,1486.0,1,1.0,0.0,0.0
Prothrombin thrombophilia,1486.0,1486.0,1.0,1.0,1486.0,1486.0,1,1.0,0.0,0.0
Pseudoachondroplasia,194.0,194.0,1.0,1.0,194.0,194.0,1,1.0,0.0,0.0
Pseudoxanthoma elasticum,151.0,151.0,1.0,1.0,151.0,151.0,1,1.0,0.0,0.0
Psoriatic arthritis,667.5,1013.875,8.0,1.0,667.5,1013.875,8,1.0,0.0,0.0
Pulmonary alveolar microlithiasis,63.0,63.0,1.0,1.0,63.0,63.0,1,1.0,0.0,0.0
Pulmonary venoocclusive disease,246.0,246.0,2.0,1.0,246.0,246.0,2,1.0,0.0,0.0
Purine nucleoside phosphorylase deficiency,129.0,129.0,1.0,1.0,129.0,129.0,1,1.0,0.0,0.0
Schizoaffective disorder,54.5,61.333333333333336,6.0,1.0,54.5,61.333333333333336,6,1.0,0.0,0.0
Schnitzler syndrome,183.5,183.5,2.0,1.0,183.5,183.5,2,1.0,0.0,0.0
Tay-Sachs disease,160.0,160.0,1.0,1.0,160.0,160.0,1,1.0,0.0,0.0
