Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
Combined immunodeficiency,knowledge_full,29,29,1.0,157.0,218.73684210526315,360.90000000000015,0.4300314067169849,2905.0,0.07894736842105263,0.42105263157894735,0.868421052631579,PRKDC(902); PIK3R1(872); IKBKB(647); ZAP70(384); PTPRC(351)
ICD10:D81,knowledge_full,25,25,1.0,157.0,205.73529411764707,350.4,0.4105159147290081,2905.0,0.058823529411764705,0.4117647058823529,0.8529411764705882,PRKDC(902); IKBKB(647); ZAP70(384); PTPRC(351); IL7R(349)
Severe combined immunodeficiency,knowledge_full,24,24,1.0,157.0,208.06060606060606,350.6,0.4133411010777745,2905.0,0.06060606060606061,0.42424242424242425,0.8484848484848485,PRKDC(902); IKBKB(647); ZAP70(384); PTPRC(351); IL7R(349)
ICD10:D819,knowledge_full,24,24,1.0,157.0,208.06060606060606,350.6,0.4133411010777745,2905.0,0.06060606060606061,0.42424242424242425,0.8484848484848485,PRKDC(902); IKBKB(647); ZAP70(384); PTPRC(351); IL7R(349)
Fanconi anemia,knowledge_full,23,23,1.0,157.0,431.9318181818182,857.0,0.654848006505465,2905.0,0.13636363636363635,0.36363636363636365,0.9772727272727273,BRCA1(3448); BRCA1(3448); BRCA2(2204); BRCA2(2204); RAD51(857)
Osteoarthritis,knowledge_full,7,7,1.0,157.0,157.14285714285714,277.80000000000007,0.38961038961038963,2909.0,0.0,0.14285714285714285,1.0,NCOA3(435); GDF5(173); DOT1L(164); COL11A1(157); ALDH1A2(71)
Synostosis,knowledge_full,27,27,1.0,156.5,311.3333333333333,729.5,0.48550142755174874,2915.5,0.3333333333333333,0.4722222222222222,0.8888888888888888,FGFR1(758); FGFR1(758); TWIST1(748); TWIST1(748); FGFR2(711)
Liddle syndrome,knowledge_full,2,2,1.0,156.5,156.5,170.5,0.05591054313099031,2946.5,0.0,0.0,1.0,SCNN1B(174); SCNN1G(139)
Sotos syndrome,knowledge_full,1,1,1.0,156.0,156.0,156.0,0.0,2923.0,0.0,0.0,1.0,NSD1(156)
Hailey-Hailey disease,knowledge_full,1,1,1.0,155.0,155.0,155.0,0.0,2931.0,0.0,0.0,1.0,ATP2C1(155)
Pemphigus,knowledge_full,1,1,1.0,155.0,155.0,155.0,0.0,2931.0,0.0,0.0,1.0,ATP2C1(155)
ICD10:L1,knowledge_full,1,1,1.0,155.0,155.0,155.0,0.0,2931.0,0.0,0.0,1.0,ATP2C1(155)
ICD10:L10,knowledge_full,1,1,1.0,155.0,155.0,155.0,0.0,2931.0,0.0,0.0,1.0,ATP2C1(155)
ICD10:Q828,knowledge_full,1,1,1.0,155.0,155.0,155.0,0.0,2931.0,0.0,0.0,1.0,ATP2C1(155)
ICD10:G5,knowledge_full,30,20,0.6666666666666666,154.5,316.4,682.3000000000003,0.6252370417193427,2956.0,0.15,0.3,0.8,GSTM1(2270); COL1A1(856); TTR(663); IL6R(505); TUBB3(374)
Gastrointestinal system disease,knowledge_full,152,152,1.0,154.0,517.6984126984127,1220.2000000000041,0.7215488485865101,2968.0,0.20634920634920634,0.3862433862433862,0.8306878306878307,TP53(11608); EGFR(6674); STAT3(3689); IL10(3485); BRCA1(3448)
Dystonia 12,knowledge_full,1,1,1.0,154.0,154.0,154.0,0.0,2954.0,0.0,0.0,1.0,ATP1A3(154)
Heart septal defect,knowledge_full,8,8,1.0,153.5,164.5,288.59999999999997,0.3415653495440729,3615.0,0.0,0.5,1.0,GATA4(325); ACTC1(273); NKX2-5(225); GATA6(216); CITED2(91)
Atrial heart septal defect,knowledge_full,8,8,1.0,153.5,164.5,288.59999999999997,0.3415653495440729,3615.0,0.0,0.5,1.0,GATA4(325); ACTC1(273); NKX2-5(225); GATA6(216); CITED2(91)
ICD10:Q21,knowledge_full,8,8,1.0,153.5,164.5,288.59999999999997,0.3415653495440729,3615.0,0.0,0.5,1.0,GATA4(325); ACTC1(273); NKX2-5(225); GATA6(216); CITED2(91)
ICD10:Q211,knowledge_full,8,8,1.0,153.5,164.5,288.59999999999997,0.3415653495440729,3615.0,0.0,0.5,1.0,GATA4(325); ACTC1(273); NKX2-5(225); GATA6(216); CITED2(91)
Generalized epilepsy with febrile seizures plus,knowledge_full,7,7,1.0,153.0,155.0,281.4000000000001,0.3931533903884134,2981.0,0.0,0.14285714285714285,0.7142857142857143,SCN1A(399); SCN9A(203); GABRG2(168); SCN2A(153); SCN1B(84)
